user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,12,580.4055755,682.0422874999999,989.91860135,996.94703947,0.0,8.178334083333333,572.2272414166666,13805.31791775,14385.72349325,prefill,0,0,12
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,12,658.6996949166667,716.7972205,1243.6575601499999,1259.50160243,0.0,51.370824666666664,607.32887025,15798.322626583335,16457.0223215,prefill,0,0,12
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,15,615.3770704,549.819539,1292.2978277,1298.6790831399999,0.0,25.459183333333332,589.9178870666667,14836.4300176,15451.807088,prefill,0,0,15
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,15,592.9109365333334,459.084858,1437.0241754999997,1502.7996110999998,0.0,82.48639086666665,510.4245456666667,17181.7246234,17774.635559933333,prefill,0,0,15
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,11,537.1131400909092,503.869387,1217.9685610000001,1278.9790834,0.0,22.867122272727272,514.2460178181818,16539.218863363636,17076.332003454547,prefill,0,0,11
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,11,610.9748681818181,617.95507,1102.99847,1103.39515,0.0,80.72261981818181,530.2522483636363,14115.627976727272,14726.60284490909,prefill,0,1,10
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,18,493.59140194444444,448.32238600000005,1208.2114269999995,1500.9578189999993,0.0,134.528529,359.0628729444444,14969.532964944445,15463.12436688889,prefill,0,1,17
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,17,545.8261589411765,489.113199,1327.4763389999998,1354.6514174,0.0,10.536351,535.2898079411765,16173.286630941177,16719.112789882354,prefill,0,0,17
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,25,681.3337665199999,585.686974,1328.0748083999997,2057.0302021999983,16.957602655195267,82.95771530480468,581.33808408,19353.3003068,20034.62205032,prefill,0,1,24
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,24,682.8559140416666,551.127418,1613.4605287499999,1824.3006100799998,0.0,146.17006566666666,536.685848375,18707.129461166667,19389.985375208333,prefill,0,3,21
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,13,390.04843184615396,447.562366,691.5866523999995,848.6116376799997,0.0,9.717196153846155,380.3312356923077,16390.333180923077,16780.38161276923,prefill,0,0,13
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,12,493.2770149166667,300.3634935,1349.11200795,1385.8537551900001,0.0,24.93487,468.3421449166667,16346.794767416666,16840.071782333333,prefill,0,0,12
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,15,1024.7696563333334,947.084524,2404.4599939,2474.4487675799996,24.71429163211046,242.93893910122273,757.1130654,17237.893725866667,18262.623305533332,prefill,0,1,14
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,15,739.4908688666667,620.075497,1767.7899111999996,1926.2202694399998,7.054772368520711,209.33477736481274,523.1011033999999,15881.810713933333,16621.281544466667,prefill,0,3,12
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,15,576.4999662666667,490.962195,1239.8495907,1319.2269693399999,0.0,31.233308933333333,545.2666573333333,14260.071623,14836.571589266667,prefill,0,0,15
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,14,642.3756897857141,546.9406994999999,1234.69062575,1235.84216835,0.0,62.45659178571428,579.919098,16857.785238285716,17500.16092807143,prefill,0,1,13
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,15,589.5863548,713.193982,1186.1765600999995,1440.9397160199999,0.0,52.17176273333333,537.4145920666667,14623.438693133334,15213.025047933332,prefill,0,0,15
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,15,506.11558046666664,266.938429,1131.2729193999996,1309.8706886799998,0.0,71.31489213333334,434.8006883333333,15851.893102666667,16358.008683133334,prefill,0,1,14
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,13,415.5439145384616,364.040792,1084.6965975999997,1213.0117355199998,0.0,19.371003153846154,396.17291138461536,12389.561896615385,12805.105811153846,prefill,0,1,12
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,13,266.9163486923077,224.452322,764.7089193999989,1122.9080894799993,0.0,8.164482615384616,258.7518660769231,12375.143630846153,12642.059979538462,prefill,0,0,13
