gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,1666.667,2113.249,6,29,518.7569500344827,419.828687,761.0468559999999,911.5478192799998,31.060160272801497,432.5771194482759,0,29,174000,18910,17748911,106057775238,106040026327,99997113149,6042913178,94.30129038315663,4128
1,1,5000.0,2113.249,4,32,504.07820987499997,414.51504650000004,831.0701278999999,1154.3517834800004,35.86825201139069,448.2488761875,0,32,192000,20235,17748911,106057775238,106040026327,96874721776,9165304551,91.35675002311243,3811
2,2,8333.333,2113.249,3,24,459.9843478333334,393.8906015,719.7325213,861.6576636899999,22.646919348520917,410.81633304166667,0,24,144000,15912,17748911,106057775238,106040026327,101051182233,4988844094,95.29531982704749,4495
3,3,0.0,5000.0,4,34,442.42272379411764,418.797063,704.99289025,712.99676285,17.793072393073363,405.8354250294118,0,34,204000,22286,17748911,106057775238,106040026327,104143871377,1896154950,98.21184979325378,4070
4,4,3333.333,5000.0,3,38,471.35485981578944,417.44226100000003,767.3850230999998,1045.1379482300006,31.35901384690134,431.6257283421053,0,38,228000,24642,17748911,106057775238,106040026327,99586475048,6453551279,93.91404217582998,3576
5,5,6666.667,5000.0,2,25,479.31216552000006,412.189868,678.0371442000001,697.5544298799999,29.65981644,449.65234907999996,0,25,150000,17011,17748911,106057775238,106040026327,99506669552,6533356775,93.83878239066745,4310
6,6,10000.0,5000.0,3,28,462.4857720357143,412.252392,721.6199535,741.33787164,32.45337179222325,418.4921261785714,0,28,168000,19183,17748911,106057775238,106040026327,90849070020,15190956307,85.6743186198813,3600
7,7,1666.667,7886.751,3,30,434.47509633333334,408.391522,640.0712606499997,721.78369662,22.722043506075032,401.12547493333335,0,30,180000,18994,17748911,106057775238,106040026327,98043244974,7996781353,92.4587142893194,4016
8,8,5000.0,7886.751,4,32,484.0159185,414.959427,829.0693534999999,864.020659,31.586855605140567,432.49204165625,0,32,192000,21141,17748911,106057775238,106040026327,102280622276,3759404051,96.4547311225603,4090
9,9,8333.333,7886.751,3,28,460.4786446071428,402.6711725,722.0468533000001,749.61173763,24.165337048732212,413.40751885714286,0,28,168000,17439,17748911,106057775238,106040026327,92717175835,13322850492,87.43601736676698,3843
