gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,1666.667,2113.249,5,26,577.2958541153847,553.8127400000001,1270.59136825,1334.68148025,16.178190849704155,540.4358044615384,0,26,144512,16676,309345783,107537254644,107227908861,92158085562,15069823299,85.94598788778481,3767
1,1,5000.0,2113.249,4,31,609.2535062580646,526.853858,1279.7514165,1495.2348633,65.23722822840242,535.2762846774193,0,31,159536,19469,309345783,107537254644,107227908861,98901181830,8326727031,92.23455244119889,3997
2,2,8333.333,2113.249,3,23,792.8351866086956,729.812189,1631.7939473999998,1883.7925847400002,153.19696791304347,639.5097792608697,0,23,135024,15237,309345783,107537254644,107227908861,96669656892,10558251969,90.15344784659868,4128
3,3,0.0,5000.0,4,35,631.4356364285713,500.743664,1446.5471496999996,1780.1952137799985,95.9226941662894,523.2957714285714,0,35,179584,22751,309345783,107537254644,107227908861,92885636776,14342272085,86.62449707604394,3333
4,4,3333.333,5000.0,3,40,734.86676665,556.202409,1424.115253949997,2492.62377392,157.67774557615394,570.5653192999999,0,40,209584,26353,309345783,107537254644,107227908861,103161151907,4066756954,96.2073708261235,3637
5,5,6666.667,5000.0,5,29,508.96037213793113,377.47551,1278.0295992,1356.67524856,28.86336355633545,473.5395433793104,0,29,126096,19782,309345783,107537254644,107227908861,100209860477,7018048384,93.45501702071097,4238
6,6,10000.0,5000.0,4,28,680.6985735000001,686.8559505000001,1364.017022,1469.3083833,49.363656678571424,631.1338339285714,0,28,174560,18768,309345783,107537254644,107227908861,105888736306,1339172555,98.7510970145506,4204
7,7,1666.667,7886.751,4,28,685.0731042857143,706.8349515,1312.1184881,1834.2881655400004,128.0885610542266,543.6053945357143,0,28,139072,18145,309345783,107537254644,107227908861,88359206226,18868702635,82.40317951228576,3564
8,8,5000.0,7886.751,4,32,658.7278129375001,545.944107,1522.1847160499997,1745.82754267,98.21646146538473,543.702243125,0,32,159024,21077,309345783,107537254644,107227908861,97213837513,10014071348,90.66094689864624,3790
9,9,8333.333,7886.751,4,28,388.01902635714293,229.691534,1192.3798906999996,1304.57821238,37.13479611365182,339.4592484285714,0,28,98608,17495,309345783,107537254644,107227908861,92516269690,14711639171,86.28002790759376,4315
