arm,ttft_ms,cdf
1: no_redirect,40.049748000,0.001666667
1: no_redirect,48.234997000,0.003333333
1: no_redirect,53.504941000,0.005000000
1: no_redirect,61.261648000,0.006666667
1: no_redirect,78.617755000,0.008333333
1: no_redirect,154.976761000,0.010000000
1: no_redirect,171.726922000,0.011666667
1: no_redirect,180.097468000,0.013333333
1: no_redirect,180.823740000,0.015000000
1: no_redirect,183.198366000,0.016666667
1: no_redirect,183.347245000,0.018333333
1: no_redirect,184.255859000,0.020000000
1: no_redirect,184.694905000,0.021666667
1: no_redirect,188.399446000,0.023333333
1: no_redirect,188.627964000,0.025000000
1: no_redirect,192.157359000,0.026666667
1: no_redirect,194.148688000,0.028333333
1: no_redirect,194.289136000,0.030000000
1: no_redirect,194.585661000,0.031666667
1: no_redirect,195.906054000,0.033333333
1: no_redirect,201.114579000,0.035000000
1: no_redirect,201.309726000,0.036666667
1: no_redirect,201.873250000,0.038333333
1: no_redirect,202.139390000,0.040000000
1: no_redirect,202.215714000,0.041666667
1: no_redirect,202.411275000,0.043333333
1: no_redirect,202.905211000,0.045000000
1: no_redirect,204.728908000,0.046666667
1: no_redirect,205.220743000,0.048333333
1: no_redirect,206.011040000,0.050000000
1: no_redirect,206.739664000,0.051666667
1: no_redirect,207.749267000,0.053333333
1: no_redirect,208.703124000,0.055000000
1: no_redirect,209.032929000,0.056666667
1: no_redirect,209.337582000,0.058333333
1: no_redirect,209.395261000,0.060000000
1: no_redirect,210.612954000,0.061666667
1: no_redirect,212.398742000,0.063333333
1: no_redirect,212.810943000,0.065000000
1: no_redirect,212.877683000,0.066666667
1: no_redirect,213.705934000,0.068333333
1: no_redirect,214.541528000,0.070000000
1: no_redirect,215.079031000,0.071666667
1: no_redirect,215.971433000,0.073333333
1: no_redirect,217.876694000,0.075000000
1: no_redirect,218.300879000,0.076666667
1: no_redirect,218.636503000,0.078333333
1: no_redirect,219.752347000,0.080000000
1: no_redirect,220.376201000,0.081666667
1: no_redirect,220.723341000,0.083333333
1: no_redirect,222.435201000,0.085000000
1: no_redirect,222.540226000,0.086666667
1: no_redirect,223.501990000,0.088333333
1: no_redirect,223.506820000,0.090000000
1: no_redirect,223.737897000,0.091666667
1: no_redirect,224.141438000,0.093333333
1: no_redirect,224.293077000,0.095000000
1: no_redirect,224.482881000,0.096666667
1: no_redirect,225.386757000,0.098333333
1: no_redirect,225.465966000,0.100000000
1: no_redirect,227.001368000,0.101666667
1: no_redirect,227.745842000,0.103333333
1: no_redirect,227.932311000,0.105000000
1: no_redirect,229.090187000,0.106666667
1: no_redirect,229.496083000,0.108333333
1: no_redirect,230.497158000,0.110000000
1: no_redirect,230.909496000,0.111666667
1: no_redirect,231.013045000,0.113333333
1: no_redirect,231.065857000,0.115000000
1: no_redirect,231.497397000,0.116666667
1: no_redirect,232.102772000,0.118333333
1: no_redirect,232.377414000,0.120000000
1: no_redirect,234.525701000,0.121666667
1: no_redirect,237.050079000,0.123333333
1: no_redirect,237.792352000,0.125000000
1: no_redirect,240.484797000,0.126666667
1: no_redirect,244.956750000,0.128333333
1: no_redirect,245.250289000,0.130000000
1: no_redirect,248.625925000,0.131666667
1: no_redirect,250.175435000,0.133333333
1: no_redirect,253.378544000,0.135000000
1: no_redirect,253.893806000,0.136666667
1: no_redirect,257.556451000,0.138333333
1: no_redirect,259.348379000,0.140000000
1: no_redirect,260.965043000,0.141666667
1: no_redirect,263.402822000,0.143333333
1: no_redirect,264.764940000,0.145000000
1: no_redirect,265.269238000,0.146666667
1: no_redirect,265.299300000,0.148333333
1: no_redirect,265.579911000,0.150000000
1: no_redirect,268.680948000,0.151666667
1: no_redirect,272.793773000,0.153333333
1: no_redirect,274.671498000,0.155000000
1: no_redirect,275.034463000,0.156666667
1: no_redirect,277.323705000,0.158333333
1: no_redirect,282.005126000,0.160000000
