variant,folds,top1_accuracy,mean_regret_ms,median_regret_ms,p95_regret_ms,mean_spearman
formula_new_formula_only,18,0.4444444444444444,42.27138072222224,1.487784500000032,216.95012939999978,0.3142857142857143
pressure,18,0.3888888888888889,44.88236900000001,0.833168999999998,219.85185659999993,0.4469576719576719
guardrail_new_formula,18,0.3888888888888889,21.152011777777798,0.833168999999998,160.90391184999993,0.3936507936507937
