gpu_id,instance_id,gpu_x_m,gpu_y_m,assigned_user_count,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,max_waiting_requests,max_running_requests,prompt_tokens_processed,output_tokens_generated,observation_start_ns,observation_end_ns,observation_time_ns,busy_time_ns,idle_time_ns,utilization_pct,completed_batch_count
0,0,,,7,30,656.9776210333334,243.653471,4081.437571749999,4684.363463400001,49.46974923333333,197.57784003333333,0,30,60000,19584,17748911,37573601014,37555852103,33994823325,3561028778,90.51804558119574,1223
1,1,,,7,33,913.0073233333333,256.014859,4471.9254878,5368.02204636,50.6480179090909,204.47968875757576,0,33,66000,20598,17748911,37573601014,37555852103,36749631731,806220372,97.853276315529,1337
2,2,,,8,28,427.25464221428564,248.16568,381.97150109999995,4046.425595090002,60.42009035714286,182.06663464285714,0,28,56000,18560,17748911,37573601014,37555852103,35644680837,1911171266,94.91112261077593,1370
3,3,,,4,29,566.9813959655172,182.632299,3009.7268865999904,5884.5536121999985,26.824357931034484,173.83184968965517,0,29,58000,19197,17748911,37573601014,37555852103,36061087260,1494764843,96.01988835481488,1368
4,4,,,5,31,976.3923279677421,196.687274,5866.613716,6144.3619333,53.6158324516129,213.1855136451613,0,31,62000,20702,17748911,37573601014,37555852103,36690202226,865649877,97.69503332096984,1344
5,5,,,6,30,675.1595165666666,253.2463845,3870.6497692499975,4751.83680583,65.181919,214.4334404,0,30,60000,19931,17748911,37573601014,37555852103,35802599691,1753252412,95.33161328042414,1321
6,6,,,5,29,559.330638137931,188.288687,2906.2613019999912,5296.947002879999,43.98653989655172,182.27144844827586,0,29,58000,19707,17748911,37573601014,37555852103,36847468613,708383490,98.11378666617068,1400
7,7,,,4,29,474.77972617241375,187.752809,2514.3552467999925,4138.18976088,36.370991,173.8966243103448,0,29,58000,18604,17748911,37573601014,37555852103,32591447838,4964404265,86.78127645357449,1179
8,8,,,5,30,662.7423386333334,203.9142545,4415.87411435,4647.85961494,36.6215845,206.84948966666667,0,30,60000,19549,17748911,37573601014,37555852103,34119066114,3436785989,90.84886696333149,1231
9,9,,,8,31,696.9071964193547,194.383221,4550.654191,5964.8928897,35.87356912903226,190.1525883548387,0,31,62000,19321,17748911,37573601014,37555852103,33646109414,3909742689,89.58952474762864,1211
